id,product_id,size,variant_price,description
226,26,Age 3-4,9.25,Abbey Meads (Swindon) Polo Shirt-White
227,26,Age 5-6,9.25,Abbey Meads (Swindon) Polo Shirt-White
228,26,Age 7-8,9.75,Abbey Meads (Swindon) Polo Shirt-White
229,26,Age 9-10,9.75,Abbey Meads (Swindon) Polo Shirt-White
230,26,Age 11-12,9.75,Abbey Meads (Swindon) Polo Shirt-White
231,26,Age 13,10.5,Abbey Meads (Swindon) Polo Shirt-White
233,27,Age 3-4,19.75,Abbey Meads (Swindon) Fleece-Dark Royal
234,27,Age 5-6,19.75,Abbey Meads (Swindon) Fleece-Dark Royal
235,27,Age 7-8,19.75,Abbey Meads (Swindon) Fleece-Dark Royal
236,27,Age 9-10,19.75,Abbey Meads (Swindon) Fleece-Dark Royal
237,27,Age 11-12,19.75,Abbey Meads (Swindon) Fleece-Dark Royal
238,27,Age 13,19.75,Abbey Meads (Swindon) Fleece-Dark Royal
240,28,Age 2,15.5,Abbey Meads (Swindon) Cardigan-Light Royal
241,28,Age 3-4,15.5,Abbey Meads (Swindon) Cardigan-Light Royal
242,28,Age 5-6,15.5,Abbey Meads (Swindon) Cardigan-Light Royal
243,28,Age 7-8,15.5,Abbey Meads (Swindon) Cardigan-Light Royal
244,28,Age 9-10,16.75,Abbey Meads (Swindon) Cardigan-Light Royal
245,28,Age 11-12,16.75,Abbey Meads (Swindon) Cardigan-Light Royal
246,28,Age 13,17.5,Abbey Meads (Swindon) Cardigan-Light Royal
247,28,Small,15.5,Abbey Meads (Swindon) Cardigan-Light Royal
248,28,Medium,17.5,Abbey Meads (Swindon) Cardigan-Light Royal
250,29,Age 3-4,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
251,29,Age 4-5,10.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
252,29,Age 5-6,12.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
253,29,Age 6-7,12.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
254,29,Age 7-8,12.0,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Lynton pinafore offers both style and functionality to your child’s uniform, with a novelty charm on the zip to add a playful touch. Designed with durability and comfort in mind, the Lynton is an essential uniform staple all year round.
pleated pinafore
novelty charm on zip
fully lined bodice
Fabric & care
100% recycled polyester
Click here for our symbols glossary"
