id,bespoke_id,alt_generic_id
775,775.0,41977.0
786,786.0,41914.0
795,795.0,41977.0
796,796.0,41911.0
804,804.0,42048.0
825,825.0,42217.0
831,831.0,41914.0
849,849.0,41922.0
850,850.0,42154.0
855,855.0,42227.0
857,857.0,42091.0
860,860.0,42162.0
861,861.0,41911.0
862,862.0,41911.0
863,863.0,41911.0
864,864.0,41911.0
868,868.0,42227.0
872,872.0,41911.0
875,875.0,42104.0
895,895.0,42064.0
896,896.0,42064.0
903,903.0,41914.0
908,908.0,41911.0
910,910.0,42048.0
913,913.0,41985.0
916,916.0,42243.0
917,917.0,41911.0
918,918.0,41911.0
920,920.0,42104.0
927,927.0,41914.0
930,930.0,42227.0
934,934.0,42091.0
936,936.0,42162.0
940,940.0,42217.0
949,949.0,42243.0
950,950.0,41914.0
955,955.0,42190.0
961,961.0,41911.0
962,962.0,41911.0
965,965.0,42243.0
971,971.0,42104.0
974,974.0,42048.0
977,977.0,41911.0
990,990.0,42243.0
994,994.0,42243.0
997,997.0,41977.0
1005,1005.0,42177.0
1013,1013.0,42243.0
1014,1014.0,42243.0
1015,1015.0,42243.0
1016,1016.0,41911.0
1017,1017.0,41911.0
1037,1037.0,42284.0
1046,1046.0,42243.0
1047,1047.0,42243.0
1048,1048.0,42243.0
1051,1051.0,42243.0
1054,1054.0,42243.0
1059,1059.0,41911.0
1061,1061.0,42104.0
1064,1064.0,42048.0
1077,1077.0,42243.0
1079,1079.0,41911.0
1081,1081.0,42227.0
1082,1082.0,42104.0
1102,1102.0,41914.0
1106,1106.0,41911.0
1108,1108.0,41911.0
1114,1114.0,41985.0
1115,1115.0,41911.0
1117,1117.0,42243.0
1122,1122.0,42227.0
1123,1123.0,42104.0
1128,1128.0,42048.0
1133,1133.0,42117.0
1136,1136.0,41911.0
1140,1140.0,42133.0
1155,1155.0,41911.0
1156,1156.0,42243.0
1159,1159.0,42104.0
1165,1165.0,42048.0
1177,1177.0,42243.0
1181,1181.0,41911.0
1182,1182.0,41911.0
1183,1183.0,41914.0
1188,1188.0,42048.0
1194,1194.0,41911.0
1195,1195.0,42227.0
1196,1196.0,41977.0
1197,1197.0,41977.0
1198,1198.0,41985.0
1199,1199.0,42243.0
1203,1203.0,41911.0
1204,1204.0,42227.0
1211,1211.0,42048.0
1217,1217.0,41911.0
1221,1221.0,42190.0
1227,1227.0,42190.0
1230,1230.0,41911.0
1232,1232.0,42243.0
1240,1240.0,42104.0
1242,1242.0,41914.0
1248,1248.0,41911.0
1250,1250.0,41977.0
1253,1253.0,41985.0
1254,1254.0,42227.0
1255,1255.0,41911.0
1271,1271.0,42104.0
1273,1273.0,42021.0
1283,1283.0,41911.0
1286,1286.0,42190.0
1287,1287.0,41959.0
1288,1288.0,42162.0
1292,1292.0,42048.0
1304,1304.0,42187.0
1313,1313.0,41914.0
1316,1316.0,41914.0
1319,1319.0,41911.0
1324,1324.0,41911.0
1325,1325.0,42243.0
1329,1329.0,41964.0
1331,1331.0,42104.0
1344,1344.0,42048.0
1349,1349.0,42243.0
1356,1356.0,42091.0
1357,1357.0,42162.0
1369,1369.0,42048.0
1371,1371.0,42243.0
1374,1374.0,41911.0
1377,1377.0,42104.0
1384,1384.0,42048.0
1397,1397.0,41914.0
1401,1401.0,41911.0
1402,1402.0,41919.0
1407,1407.0,41911.0
1413,1413.0,42243.0
1417,1417.0,41911.0
1420,1420.0,42104.0
1430,1430.0,41959.0
1431,1431.0,42048.0
1446,1446.0,41911.0
1448,1448.0,42190.0
1454,1454.0,42048.0
1460,1460.0,42217.0
1462,1462.0,42091.0
1466,1466.0,42162.0
1471,1471.0,41914.0
1480,1480.0,41985.0
1484,1484.0,42243.0
1485,1485.0,41911.0
1487,1487.0,42104.0
1500,1500.0,42048.0
1501,1501.0,42104.0
1503,1503.0,42227.0
1504,1504.0,41911.0
1510,1510.0,42104.0
1524,1524.0,42091.0
1526,1526.0,42227.0
1527,1527.0,41911.0
1534,1534.0,42104.0
1536,1536.0,42026.0
1555,1555.0,41914.0
1557,1557.0,42104.0
1565,1565.0,42048.0
1571,1571.0,42217.0
1581,1581.0,41911.0
1587,1587.0,41928.0
1598,1598.0,41977.0
1604,1604.0,42217.0
1613,1613.0,41914.0
