id,product_id,size,price,description,description_icon_alts,colors
26.0,20009.0,Age 9,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
27.0,20009.0,Age 10,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
28.0,20009.0,Age 11,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
29.0,20009.0,Age 12,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
30.0,20009.0,Age 13,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Boys Pull-On Shorts are optimised for comfort during those warmer months, with an easy pull-on style. Built for durability, this uniform essential provides fantastic value for money.
long leg style
pleated front
fastening: hook and eye
without fly
belt loops
maxtech stain resistant finish
Fabric & care
65% polyester
35% viscose
Click here for our symbols glossary",[],['Grey']
31.0,20010.0,,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
32.0,20010.0,Age 3-4,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
33.0,20010.0,Age 4-5,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
34.0,20010.0,Age 6-7,£10.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
35.0,20010.0,Age 8-9,£12.00,"As the UK’s largest and leading schoolwear supplier, Banner is passionate about making every student look and feel great by producing sustainable and affordable quality schoolwear. The Banner Junior Banbury Deep Waist Skirt offers a traditional pleated style, ideal for every season. The elasticated back and pull-on design provide extra comfort throughout the school day.
pull on pleated skirt
deep yoke
elasticated back waist
Fabric & care
100% recycled polyester
Click here for our symbols glossary","['Eco Product Icon', 'Delivered On Hanger Icon', '40 Degree Icon']",['Grey']
