id,product_id,size,price,description
15489,2693,V - Neck,£36.00,
15490,2693,1 of each,£36.00,
15491,2694,Choose Options,£4.00,
15492,2694,25,£4.00,
15493,2694,50,£4.00,
15494,2695,Choose Options,£8.29,
15495,2695,6 (Childrens),£8.29,
15496,2695,7 (Childrens),£8.29,
15497,2695,8 (Childrens),£8.29,
15498,2695,9 (Childrens),£8.29,
15499,2695,10 (Childrens),£8.29,
15500,2695,11 (Childrens),£8.29,
15501,2695,12 (Childrens),£8.29,
15502,2695,13 (Childrens),£8.29,
15503,2695,1,£8.29,
15504,2695,2,£8.29,
15505,2695,3,£8.29,
15506,2695,4,£8.89,
15507,2695,5,£8.89,
15508,2695,6,£8.89,
15509,2695,7,£9.99,
15510,2696,Choose Options,£69.00,
15511,2696,Reversible Fleece Lined Jacket,£69.00,
15512,2696,Soft Shell Jacket,£69.00,
15513,2697,Choose Options,£48.00,
15514,2697,Hooded Zippers,£48.00,
15515,2697,Hooded Pullovers,£48.00,
15516,2697,1 of each,£48.00,
15517,2698,Choose Options,£8.99,
15518,2698,Age 3/4,£8.99,
15519,2698,Age 5/6,£8.99,
15520,2698,Age 7/8,£8.99,
15521,2698,Age 9/10,£8.99,
15522,2698,Age 11/12,£8.99,
15523,2698,Age 13,£8.99,
15524,2698,Small Adults,£8.99,
15525,2699,Choose Options,£62.00,
15526,2699,"22""",£62.00,
15527,2699,"23""",£62.00,
15528,2699,"24""",£62.00,
15529,2699,"25""",£62.00,
15530,2699,"26""",£62.00,
15531,2699,"28""",£62.00,
15532,2700,Choose Options,£12.99,
15533,2700,Age 3/4,£12.99,
15534,2700,Age 5/6,£12.99,
15535,2700,Age 7/8,£12.99,
15536,2700,Age 9/10,£12.99,
15537,2700,Age 11/12,£12.99,
15538,2700,Age 13,£12.99,
15539,2700,Small Adults,£12.99,
15540,2702,Choose Options,£16.99,
15541,2702,"24""",£16.99,
15542,2702,"26""",£16.99,
15543,2702,"28""",£16.99,
15544,2702,"30""",£16.99,
15545,2702,"32""",£16.99,
15546,2702,"34""",£16.99,
15547,2702,"36""",£16.99,
15548,2703,Choose Options,£10.99,
15549,2703,Age 3/4,£10.99,
15550,2703,Age 5/6,£10.99,
15551,2703,Age 7/8,£10.99,
15552,2703,Age 9/10,£10.99,
15553,2703,Age 11/12,£10.99,
15554,2703,Age 13,£10.99,
15555,2703,Small Adults,£10.99,
15556,2704,Choose Options,£14.99,
15557,2704,Age 3/4,£14.99,
15558,2704,Age 5/6,£14.99,
15559,2704,Age 7/8,£14.99,
15560,2704,Age 9/10,£14.99,
15561,2704,Age 11/12,£14.99,
15562,2704,Age 13,£14.99,
15563,2704,Small Adults,£14.99,
15564,2705,Choose Options,£9.99,
15565,2705,Age 3/4,£9.99,
15566,2705,Age 5/6,£9.99,
15567,2705,Age 7/8,£9.99,
15568,2705,Age 9/10,£9.99,
15569,2705,Age 11/12,£9.99,
15570,2705,Age 13,£9.99,
15571,2705,Small Adults,£9.99,
15572,2706,Choose Options,£24.99,
15573,2706,Age 3/4,£24.99,
15574,2706,Age 5/6,£24.99,
15575,2706,Age 7/8,£24.99,
15576,2706,Age 9/10,£24.99,
15577,2706,Age 11/12,£24.99,
15578,2706,Age 13,£24.99,
15579,2706,Small Adults,£24.99,
15580,2708,Choose Options,£34.99,
15581,2708,"0 (22"")",£34.99,
15582,2708,"1 (23"")",£34.99,
