name,price,url,image
Grey Trunks 5 Pack,£9,"https://direct.asda.com/george/kids/underwear-socks/grey-trunks-5-pack/GEM1136478,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198485552?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Takeaway Food Trunks 5 Pack,£9,"https://direct.asda.com/george/kids/underwear-socks/takeaway-food-trunks-5-pack/GEM1136479,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198485798?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Neutral Trunks 5 Pack,£9,"https://direct.asda.com/george/kids/underwear-socks/neutral-trunks-5-pack/GEM1136485,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198487051?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Grey Dinosaur Trunks 5 Pack,£9,"https://direct.asda.com/george/kids/underwear-socks/grey-dinosaur-trunks-5-pack/GEM1136482,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198486559?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Striped Trunks 5 Pack,£9,"https://direct.asda.com/george/kids/underwear-socks/striped-trunks-5-pack/GEM1136483,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198486412?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Minecraft Single Strap Black School Shoes,£20,"https://direct.asda.com/george/school/boys-school-shoes-trainers/minecraft-single-strap-black-school-shoes/GEM1120291,default,pd.html?cgid=D10M20G1C2","https://asda.scene7.com/is/image/Asda/5059197539997?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Skate School Shoes,£14,"https://direct.asda.com/george/school/boys-school-shoes-trainers/black-skate-school-shoes/GEM1119335,default,pd.html?cgid=D10M20G1C2","https://asda.scene7.com/is/image/Asda/5059197484952?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Plain Briefs 10 Pack,£6,"https://direct.asda.com/george/kids/underwear-socks/plain-briefs-10-pack/GEM1136486,default,pd.html?cgid=D25M1G1C10","https://asda.scene7.com/is/image/Asda/5059198487358?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Dark Green Shower Resistant Jacket,£18,"https://direct.asda.com/george/kids/coats-jackets/dark-green-shower-resistant-jacket/GEM1124284,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197752457?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Teal Fleece Lined Tech Anorak,£16,"https://direct.asda.com/george/kids/coats-jackets/teal-fleece-lined-tech-anorak/GEM1125168,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197831275?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Navy Shower Resistant Jacket,£18,"https://direct.asda.com/george/kids/coats-jackets/navy-shower-resistant-jacket/GEM1124098,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197752211?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Orange Panelled Lightweight Jacket,£14,"https://direct.asda.com/george/kids/coats-jackets/orange-panelled-lightweight-jacket/GEM1124238,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197752037?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Padded Fleece Lined Coat,£16,"https://direct.asda.com/george/kids/coats-jackets/black-padded-fleece-lined-coat/GEM1124076,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197742335?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Padded Fleece Lined Funnel Neck Gilet,£14,"https://direct.asda.com/george/kids/coats-jackets/black-padded-fleece-lined-funnel-neck-gilet/GEM1124201,default,pd.html?cgid=D25M1G1C4","https://asda.scene7.com/is/image/Asda/5059197745671?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Black Football Light Up School Shoes,£16,"https://direct.asda.com/george/school/boys-school-shoes-trainers/black-football-light-up-school-shoes/GEM1119341,default,pd.html?cgid=D10M20G1C2","https://asda.scene7.com/is/image/Asda/5059197486055?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
Marvel Spider-Man Black Double Strap School Shoes,£18,"https://direct.asda.com/george/school/boys-school-shoes-trainers/marvel-spider-man-black-double-strap-school-shoes/GEM1119336,default,pd.html?cgid=D10M20G1C2","https://asda.scene7.com/is/image/Asda/5059197485058?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd"
