school_name,store_page,schoolsupplier_id,products
Carr-Bridge Primary,https://schoolwearmadeeasy.com/collections/carr-bridge-primary,,
Castlefield Primary,https://schoolwearmadeeasy.com/collections/castlefield-primary,,
Castlehill Primary,https://schoolwearmadeeasy.com/collections/castlehill-primary,,
Castlehill Primary Bearsden,https://schoolwearmadeeasy.com/collections/castlehill-primary-bearsden,,
Castlepark Primary,https://schoolwearmadeeasy.com/collections/castlepark-primary,,
Castletown Primary,https://schoolwearmadeeasy.com/collections/castletown-primary,,
Cauldeen Primary,https://schoolwearmadeeasy.com/collections/cauldeen-primary,,
Cawdor Primary,https://schoolwearmadeeasy.com/collections/cawdor-primary,,
Central Primary,https://schoolwearmadeeasy.com/collections/central-primary,,
Chirnsyde Primary,https://schoolwearmadeeasy.com/collections/chirnsyde-primary,,
Christie Park Primary,https://schoolwearmadeeasy.com/collections/christie-park-primary,,
Cleish Primary,https://schoolwearmadeeasy.com/collections/cleish-primary,,
Clober Primary,https://schoolwearmadeeasy.com/collections/clober-primary,,
Cluny School,https://schoolwearmadeeasy.com/collections/cluny-school,,
Clydemuir Primary,https://schoolwearmadeeasy.com/collections/clydemuir-primary,,
Cochrane Castle Primary,https://schoolwearmadeeasy.com/collections/cochrane-castle-primary,,
Colquhoun Park,https://schoolwearmadeeasy.com/collections/colquhoun-park,,
Corrie Primary,https://schoolwearmadeeasy.com/collections/corrie-primary,,
Coulhill Primary,https://schoolwearmadeeasy.com/collections/coulhill-primary,,
Countesswells Primary,https://schoolwearmadeeasy.com/collections/countesswells-primary,,
Cradlehall Primary,https://schoolwearmadeeasy.com/collections/cradlehall-primary,,
Craighill Primary,https://schoolwearmadeeasy.com/collections/craighill-primary,,
Craigmarloch Junior School,https://schoolwearmadeeasy.com/collections/craigmarloch-junior-school,,
Craigmarloch Primary,https://schoolwearmadeeasy.com/collections/craigmarloch-primary,,
Craigowl Primary,https://schoolwearmadeeasy.com/collections/craigowl-primary,,
Crathes Primary,https://schoolwearmadeeasy.com/collections/crathes-primary,,
Crathie Primary,https://schoolwearmadeeasy.com/collections/crathie-primary,,
Crieff Primary,https://schoolwearmadeeasy.com/collections/crieff-primary,,
Cromarty Primary,https://schoolwearmadeeasy.com/collections/cromarty-primary,,
Crombie Primary,https://schoolwearmadeeasy.com/collections/crombie-primary,,
Crookfur Primary,https://schoolwearmadeeasy.com/collections/crookfur-primary,,
Cross Arthurlie Primary,https://schoolwearmadeeasy.com/collections/cross-arthurlie-primary,,
Crown Primary,https://schoolwearmadeeasy.com/collections/crown-primary,,
Croy Primary,https://schoolwearmadeeasy.com/collections/croy-primary,,
Dairsie Primary,https://schoolwearmadeeasy.com/collections/dairsie-primary,,
Dalmarnock Primary,https://schoolwearmadeeasy.com/collections/dalmarnock-primary,,
Dalneigh Primary,https://schoolwearmadeeasy.com/collections/dalneigh-primary,,
Dalreoch Primary,https://schoolwearmadeeasy.com/collections/dalreoch-primary,,
Dalry Primary,https://schoolwearmadeeasy.com/collections/dalry-primary,,
Dalrymple Primary,https://schoolwearmadeeasy.com/collections/dalrymple-primary,,
Dalserf Primary,https://schoolwearmadeeasy.com/collections/dalserf-primary,,
Dargavel Primary,https://schoolwearmadeeasy.com/collections/dargavel-primary,,
Darnley Primary,https://schoolwearmadeeasy.com/collections/darnley-primary,,
Daviot Primary,https://schoolwearmadeeasy.com/collections/daviot-primary,,
Dingwall Primary,https://schoolwearmadeeasy.com/collections/dingwall-primary,,
Dingwall Gaelic Primary,https://schoolwearmadeeasy.com/collections/dingwall-gaelic-primary,,
Dochgarroch Primary,https://schoolwearmadeeasy.com/collections/dochgarroch-primary,,
Dornoch Primary,https://schoolwearmadeeasy.com/collections/dornoch-primary,,
Downfield Primary,https://schoolwearmadeeasy.com/collections/downfield-primary,,
Drakies Primary,https://schoolwearmadeeasy.com/collections/drakies-primary,,
Dreghorn Primary,https://schoolwearmadeeasy.com/collections/dreghorn-primary,,
Drummond Primary,https://schoolwearmadeeasy.com/collections/drummond-primary,,
Dunbeg Primary,https://schoolwearmadeeasy.com/collections/dunbeg-primary,,
Duncan Forbes Primary,https://schoolwearmadeeasy.com/collections/duncan-forbes-primary,,
Dundonald Primary,https://schoolwearmadeeasy.com/collections/dundonald-primary,,
Dunnottar Primary,https://schoolwearmadeeasy.com/collections/dunnottar-primary,,
Durness Primary,https://schoolwearmadeeasy.com/collections/durness-primary,,
Durris Primary,https://schoolwearmadeeasy.com/collections/durris-primary,,
Dyke Primary,https://schoolwearmadeeasy.com/collections/dyke-primary,,
Eaglesham Primary,https://schoolwearmadeeasy.com/collections/eaglesham-primary,,
East Fulton Primary,https://schoolwearmadeeasy.com/collections/east-fulton-primary,,
Edderton Primary,https://schoolwearmadeeasy.com/collections/edderton-primary,,
Edinbane Primary,https://schoolwearmadeeasy.com/collections/edinbane-primary,,
Edinbarnet Primary,https://schoolwearmadeeasy.com/collections/edinbarnet-primary,,
Elderbank Primary,https://schoolwearmadeeasy.com/collections/elderbank-primary,,
Elie Primary,https://schoolwearmadeeasy.com/collections/elie-primary,,
Elmvale Primary,https://schoolwearmadeeasy.com/collections/elmvale-primary,,
Errol Primary,https://schoolwearmadeeasy.com/collections/errol-primary,,
Farr Primary,https://schoolwearmadeeasy.com/collections/farr-primary,,
Ferintosh Primary,https://schoolwearmadeeasy.com/collections/ferintosh-primary,,
Ferryden Primary,https://schoolwearmadeeasy.com/collections/ferryden-primary,,
