id,product_id,size,price,description,description_icon_alts,colors
50.0,6.0,Shoe Childs UK 9-12,£7.00,Pex Award 5 Pair Pack Short Socks-Grey,[],['Grey']
51.0,6.0,Shoe Childs UK 12H-3H,£7.00,Pex Award 5 Pair Pack Short Socks-Grey,[],['Grey']
52.0,6.0,Shoe UK 4-7,£7.00,Pex Award 5 Pair Pack Short Socks-Grey,[],['Grey']
53.0,6.0,Shoe UK 7-11,£7.00,Pex Award 5 Pair Pack Short Socks-Grey,[],['Grey']
54.0,7.0,,£7.00,Pex Award 5 Pair Pack Short Socks-White,[],['White']
55.0,7.0,Shoe Childs UK 6-8H,£7.00,Pex Award 5 Pair Pack Short Socks-White,[],['White']
56.0,7.0,Shoe Childs UK 9-12,£7.00,Pex Award 5 Pair Pack Short Socks-White,[],['White']
57.0,7.0,Shoe Childs UK 12H-3H,£7.00,Pex Award 5 Pair Pack Short Socks-White,[],['White']
58.0,7.0,Shoe UK 11-13,£7.00,Pex Award 5 Pair Pack Short Socks-White,[],['White']
59.0,7.0,Shoe UK 4-7,£7.00,Pex Award 5 Pair Pack Short Socks-White,[],['White']
60.0,7.0,Shoe UK 7-11,£7.00,Pex Award 5 Pair Pack Short Socks-White,[],['White']
61.0,8.0,,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
62.0,8.0,Age 3-4,£10.00,"Established in 1976, Zeco has always supplied the very best in quality, hard wearing schoolwear garments. The Zeco BT3051 Junior Slim Fit Trouser is optimised for comfort throughout the school day with an elasticated back and hook & bar fastening. This uniform essential provides a smart look with a slim fit design and tailored front waistband.
flat front with elasticated back waist
two side pockets
tailored waistband with belt loops
hook and bar fastening
stain resistant teflon ecoelite℠ finish
Fabric & care
65%polyester 35% viscose
Click here for our symbols glossary",[],['Charcoal']
